NO_IES,SG_UF_IES,TP_CATEGORIA_ADMINISTRATIVA,QT_TEC_TOTAL,QT_DOC_TOTAL,QT_DOC_EX_DOUT,QT_DOC_EX_MEST,QT_PERIODICO_ELETRONICO,QT_LIVRO_ELETRONICO,IN_ACESSO_PORTAL_CAPES,IN_REPOSITORIO_INSTITUCIONAL,IN_SERVICO_INTERNET,idade,genero,cor_raca,estado,nivel_ensino,situacao_trabalho,setor,tamanho_empresa,cargo,nivel_cargo,faixa_salarial,exp_dados,exp_ti,satisfacao,motivo_insatisfacao,modelo_trabalho,modelo_ideal,layoff,sql,r,python,c_cpp_csharp,dotnet,java,javascript,linguagem_principal,mysql,sql_server,postgresql,bigquery,snowflake,databricks,azure,aws,gcp,powerbi,tableau,looker,looker_studio,excel_planilhas,ia_prioridade,ia_uso_independente,ia_uso_centralizado,ia_copilots,ia_produtos_externos,ia_produtos_internos,ia_principal_negocio,ia_nao_prioridade,ia_nao_sabe,ia_nao_usa,ia_gratuita,ia_paga_pessoal,ia_paga_empresa,ia_usa_copilot,tamanho_empresa_cat,satisfacao_binaria,salario_medio,exp_dados_num,exp_ti_num,nivel_ia,Contextualizacao
UNIVERSIDADE PROFESSOR EDSON ANTÔNIO VELANO,MG,5,668,474,162,203,48038,13633,1,1,1,37.0,Masculino,Branca,São Paulo,Pós-graduação,Vivo no Brasil e trabalho remoto para empresa de fora do Brasil,Tecnologia/Fábrica de Software,de 101 a 500,Analista de Dados/Data Analyst,Sênior,8001-12000,7-10,1-2,0.0,"Salário atual não corresponde ao mercado, Não tenho uma boa relação com meu líder/gestor, Falta de oportunidade de crescimento no emprego atual",Remoto,Remoto,Sim afetado,1.0,0.0,0.0,0.0,0.0,0.0,0.0,SQL,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Média,0.0,10000.0,8.5,1.5,Outros,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL,AL,2,636,273,88,109,0,2720,1,1,1,35.0,Masculino,Branca,São Paulo,Pós-graduação,CLT,Finanças ou Bancos,de 1.001 a 3.000,Analista de Dados/Data Analyst,Sênior,8001-12000,de 4 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,1.0,,Remoto,Remoto,Não,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SQL,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,10000.0,,,Outros,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
FACULDADE DE TECNOLOGIA DE SOROCABA,SP,2,53,162,52,72,0,0,0,1,1,26.0,Feminino,Branca,São Paulo,Graduação/Bacharelado,Desempregado,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,Outros,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
FACULDADE DE TECNOLOGIA DE SÃO PAULO,SP,2,71,569,192,265,77,0,0,1,1,32.0,Masculino,Branca,São Paulo,Doutorado ou Phd,CNPJ,Setor Imobiliário/ Construção Civil,de 11 a 50,,,16001-20000,10+,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,0.0,"Falta de oportunidade de crescimento no emprego atual, Salário atual não corresponde ao mercado, Falta de maturidade analítica na empresa",Híbrido flexível,Híbrido flexível,Não,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Não é uma iniciativa que estamos focando e não tem sido uma prioridade.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Pequena,0.0,18000.0,10.0,,Baixa adoção,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
"FACULDADE DE TECNOLOGIA DE AMERICANA ""MINISTRO RALPH BIASI""",SP,2,14,143,38,64,1,0,1,1,1,28.0,Masculino,Pardo,São Paulo,Pós-graduação,CLT,Seguros ou Previdência,Acima de 3.000,Cientista de Dados/Data Scientist,Sênior,8001-12000,de 4 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,1.0,,Híbrido flexível,Remoto,Não,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Python,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Grande,1.0,10000.0,,,Outros,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
FACULDADE DE TECNOLOGIA RUBENS LARA,SP,2,24,117,34,56,21,0,0,1,1,24.0,Masculino,Branca,Rio de Janeiro,Graduação/Bacharelado,Desempregado,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,Outros,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
FACULDADE DE TECNOLOGIA DE JAHU,SP,2,31,96,34,39,0,0,0,0,1,30.0,Masculino,Branca,Rio de Janeiro,Pós-graduação,CLT,Finanças ou Bancos,de 101 a 500,Cientista de Dados/Data Scientist,Pleno,8001-12000,3-4,1-2,1.0,,Remoto,Remoto,Não,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Python,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Média,1.0,10000.0,3.5,1.5,Outros,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,SC,2,727,1221,904,255,561,16706,1,0,1,25.0,Feminino,Branca,Rio de Janeiro,Graduação/Bacharelado,Estagiário,Área de Consultoria,de 101 a 500,Analista de Dados/Data Analyst,Júnior,1001-2000,0-1,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,1.0,,Remoto,Remoto,Sim afetado,1.0,0.0,0.0,0.0,0.0,0.0,0.0,SQL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Média,1.0,1500.0,0.5,,Outros,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
FACULDADE DE DIREITO DE SÃO BERNARDO DO CAMPO,SP,7,96,55,42,12,36,0,0,0,1,42.0,Masculino,Branca,Rio de Janeiro,Pós-graduação,CLT,Finanças ou Bancos,de 501 a 1.000,,,de R$ 30.001/mês a R$ 40.000/mês,10+,3-4,1.0,,Híbrido fixo,Híbrido fixo,Sim não afetado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (iniciativas isoladas e pouco foco).",0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Grande,1.0,,10.0,3.5,IA em produtos,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
FACULDADE DE DIREITO DE FRANCA,SP,3,29,36,19,17,1270,3615,1,1,1,29.0,Feminino,Branca,Rio de Janeiro,Pós-graduação,CLT,Internet/Ecommerce,de 1.001 a 3.000,Analista de Dados/Data Analyst,Sênior,8001-12000,5-6,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,0.0,O clima de trabalho/ambiente não é bom,Híbrido flexível,Remoto,Sim não afetado,1.0,0.0,1.0,0.0,0.0,1.0,1.0,Python,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,10000.0,5.5,,Outros,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
CENTRO UNIVERSITÁRIO MUNICIPAL DE FRANCA,SP,7,44,208,64,91,13,28455,1,1,1,25.0,Masculino,Preto,Sergipe,Estudante de Graduação,CLT,Setor Público,de 101 a 500,Analista de BI/BI Analyst,Júnior,1001-2000,1-2,5-6,0.0,"Salário atual não corresponde ao mercado, Gostaria de trabalhar em em outra área de atuação, Regime presencial",Presencial,Híbrido flexível,Não,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SQL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Média,0.0,1500.0,1.5,5.5,Outros,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
ESCOLA DE ENGENHARIA DE PIRACICABA,SP,3,51,86,35,42,23,18021,0,0,1,25.0,Masculino,Branca,Sergipe,Graduação/Bacharelado,CLT,Varejo,de 11 a 50,Analista de Dados/Data Analyst,Júnior,2001-3000,1-2,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,0.0,"Salário atual não corresponde ao mercado, Falta de oportunidade de crescimento no emprego atual, Gostaria de trabalhar em em outra área de atuação",Presencial,Híbrido flexível,Não,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SQL,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Pequena,0.0,2500.0,1.5,,Outros,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE PENÁPOLIS,SP,5,73,113,49,33,408,13379,1,1,1,36.0,Masculino,Preto,Sergipe,Mestrado,CNPJ,Indústria,de 51 a 100,Cientista de Dados/Data Scientist,Sênior,12001-16000,de 4 a 6 anos,3-4,0.0,"Salário atual não corresponde ao mercado, Não tenho uma boa relação com meu líder/gestor, Falta de oportunidade de crescimento no emprego atual",Remoto,Remoto,Sim afetado,1.0,0.0,1.0,0.0,0.0,0.0,0.0,Python,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Média,0.0,14000.0,,3.5,Outros,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,RN,2,531,952,483,313,10,270,1,1,1,49.0,Masculino,Pardo,Sergipe,Mestrado,Acadêmico,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,Outros,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
FACULDADE DE FORMAÇÃO DE PROFESSORES DA MATA SUL,PE,7,134,43,2,6,500,20000,0,0,1,26.0,Feminino,Pardo,Sergipe,Graduação/Bacharelado,CLT,Tecnologia/Fábrica de Software,Acima de 3.000,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,12001-16000,3-4,5-6,0.0,"Falta de oportunidade de crescimento no emprego atual, Salário atual não corresponde ao mercado",Híbrido flexível,Remoto,Não,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SQL,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Grande,0.0,14000.0,3.5,5.5,Outros,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
CENTRO DE ENSINO SUPERIOR DE ARCOVERDE,PE,7,73,104,11,40,0,10000,0,1,1,31.0,Feminino,Branca,Pernambuco,Estudante de Graduação,Somente Estudante (graduação),,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,Outros,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE SÃO JOSÉ DO RIO PARDO,SP,3,14,34,8,8,0,0,0,0,1,30.0,Feminino,Branca,Pernambuco,Mestrado,Desempregado,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,Outros,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
UNIVERSIDADE REGIONAL DE BLUMENAU,SC,3,444,661,271,261,9,12570,1,0,1,23.0,Masculino,Branca,Pernambuco,Estudante de Graduação,Estagiário,Outra Opção,de 51 a 100,Cientista de Dados/Data Scientist,Júnior,Menos de R$ 1.000/mês,1-2,1-2,1.0,,Remoto,Híbrido flexível,Não,1.0,0.0,1.0,0.0,0.0,0.0,0.0,SQL,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Média,1.0,,1.5,1.5,Outros,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
FACULDADE DA REGIÃO DOS LAGOS,RJ,5,6,21,4,5,742,16231,1,1,1,42.0,Masculino,Branca,Pernambuco,Pós-graduação,CLT,Tecnologia/Fábrica de Software,de 51 a 100,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,8001-12000,10+,3-4,1.0,,Híbrido fixo,Híbrido fixo,Não,1.0,0.0,1.0,0.0,1.0,0.0,0.0,SQL,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Média,1.0,10000.0,10.0,3.5,Outros,"IA Generativa: Análise dos desafios enfrentados por profissionais juniores e microempresas, incluindo barreiras financeiras, estruturais e a exigência de experiência para a adoção de tecnologias disruptivas no mercado."
