idade,genero,cor_raca,SG_UF_IES,nivel_ensino,situacao_trabalho,setor,tamanho_empresa,cargo,nivel_cargo,faixa_salarial,exp_dados,exp_ti,satisfacao,motivo_insatisfacao,modelo_trabalho,modelo_ideal,layoff,sql,r,python,c_cpp_csharp,dotnet,java,javascript,postgresql,bigquery,snowflake,databricks,azure,aws,gcp,powerbi,tableau,looker_studio,excel_planilhas
23,Masculino,Amarela,SP,Estudante de Graduação,Empregado (CLT),Marketing,Acima de 3.000,Cientista de Dados/Data Scientist,Pleno,de R$ 3.001/mês a R$ 4.000/mês,de 3 a 4 anos,Menos de 1 ano,0.0,"Falta de maturidade analítica na empresa, Salário atual não corresponde ao mercado, Falta de oportunidade de crescimento no emprego atual",Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),"Sim, ocorreram layoffs/demissões em massa na empresa em que trabalho mas não fui afetado",1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
31,Masculino,Branca,SP,Pós-graduação,Empregado (CLT),Área da Saúde,Acima de 3.000,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,de 7 a 10 anos,1.0,,Modelo 100% presencial,Modelo 100% remoto,Não ocorreram layoffs/demissões em massa na empresa em que trabalho,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
33,Feminino,Branca,BA,Graduação/Bacharelado,Empregado (CLT),Área de Consultoria,de 501 a 1.000,Analista de Negócios/Business Analyst,Sênior,de R$ 4.001/mês a R$ 6.000/mês,de 7 a 10 anos,Menos de 1 ano,0.0,Falta de oportunidade de crescimento no emprego atual,Modelo 100% remoto,Modelo 100% remoto,"Sim, ocorreram layoffs/demissões em massa na empresa em que trabalho mas não fui afetado",,,,,,,,,,,,,,,,,,
36,Masculino,Branca,SC,Mestrado,Empregado (CLT),Varejo,Acima de 3.000,Analista de Dados/Data Analyst,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,1.0,,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),"Sim, ocorreram layoffs/demissões em massa na empresa em que trabalho mas não fui afetado",1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
29,Masculino,Branca,SP,Pós-graduação,Empregado (CLT),Setor Alimentício,Acima de 3.000,Cientista de Dados/Data Scientist,Sênior,de R$ 16.001/mês a R$ 20.000/mês,de 7 a 10 anos,Menos de 1 ano,0.0,"Falta de maturidade analítica na empresa, Salário atual não corresponde ao mercado",Modelo 100% remoto,Modelo 100% remoto,"Sim, ocorreram layoffs/demissões em massa na empresa em que trabalho mas não fui afetado",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
38,Masculino,Branca,PR,Graduação/Bacharelado,Empregado (CLT),Indústria,Acima de 3.000,Analista de Dados/Data Analyst,Pleno,de R$ 4.001/mês a R$ 6.000/mês,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,1.0,,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),"Sim, ocorreram layoffs/demissões em massa na empresa em que trabalho mas não fui afetado",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
23,Masculino,Branca,RS,Graduação/Bacharelado,Empreendedor ou Empregado (CNPJ),Entretenimento ou Esportes,de 101 a 500,Analista de Dados/Data Analyst,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Menos de 1 ano,1.0,,Modelo 100% remoto,Modelo 100% remoto,"Sim, ocorreram layoffs/demissões em massa na empresa em que trabalho mas não fui afetado",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
27,Masculino,Branca,PA,Mestrado,Empregado (CLT),Área de Consultoria,de 501 a 1.000,Analista de Dados/Data Analyst,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,0.0,Work-life balance,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Não ocorreram layoffs/demissões em massa na empresa em que trabalho,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
26,Masculino,Branca,SP,Mestrado,Empregado (CLT),Finanças ou Bancos,Acima de 3.000,Cientista de Dados/Data Scientist,Sênior,de R$ 20.001/mês a R$ 25.000/mês,de 4 a 6 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,1.0,,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Não ocorreram layoffs/demissões em massa na empresa em que trabalho,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
30,Masculino,Parda,RJ,Pós-graduação,Empregado (CLT),Tecnologia/Fábrica de Software,de 1.001 a 3.000,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Pleno,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 6 anos,Menos de 1 ano,1.0,,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),"Sim, ocorreram layoffs/demissões em massa na empresa em que trabalho mas não fui afetado",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
26,Feminino,Branca,PR,Estudante de Graduação,Empregado (CLT),Setor Alimentício,Acima de 3.000,Analista de BI/BI Analyst,Júnior,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,0.0,"Falta de maturidade analítica na empresa, Gostaria de receber mais benefícios",Modelo 100% presencial,Modelo híbrido com dias fixos de trabalho presencial,Não ocorreram layoffs/demissões em massa na empresa em que trabalho,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
50,Feminino,Parda,SP,Mestrado,Servidor Público,Educação,de 501 a 1.000,Estatístico,Pleno,de R$ 8.001/mês a R$ 12.000/mês,Mais de 10 anos,Menos de 1 ano,1.0,,Modelo 100% presencial,Modelo híbrido com dias fixos de trabalho presencial,Não ocorreram layoffs/demissões em massa na empresa em que trabalho,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
23,Feminino,Branca,MG,Estudante de Graduação,Empregado (CLT),Área de Consultoria,de 11 a 50,,,de R$ 4.001/mês a R$ 6.000/mês,de 3 a 4 anos,Menos de 1 ano,1.0,,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Não ocorreram layoffs/demissões em massa na empresa em que trabalho,,,,,,,,,,,,,,,,,,
22,Masculino,Branca,SP,Graduação/Bacharelado,Empregado (CLT),Varejo,de 1.001 a 3.000,Analista de Dados/Data Analyst,Pleno,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,1.0,,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Não ocorreram layoffs/demissões em massa na empresa em que trabalho,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
39,Masculino,Parda,GO,Pós-graduação,Empregado (CLT),Varejo,Acima de 3.000,Analista de BI/BI Analyst,Júnior,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,1.0,,Modelo 100% remoto,Modelo 100% remoto,Não ocorreram layoffs/demissões em massa na empresa em que trabalho,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
34,Feminino,Branca,PE,Pós-graduação,Empregado (CLT),Varejo,Acima de 3.000,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,Sênior,de R$ 12.001/mês a R$ 16.000/mês,de 7 a 10 anos,de 1 a 2 anos,1.0,,Modelo 100% remoto,Modelo 100% remoto,Não ocorreram layoffs/demissões em massa na empresa em que trabalho,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
23,Masculino,Branca,,Prefiro não informar,Estagiário,Tecnologia/Fábrica de Software,de 11 a 50,Cientista de Dados/Data Scientist,Júnior,de R$ 4.001/mês a R$ 6.000/mês,Menos de 1 ano,Menos de 1 ano,1.0,,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Não ocorreram layoffs/demissões em massa na empresa em que trabalho,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,Masculino,Preta,DF,Graduação/Bacharelado,Empregado (CLT),Finanças ou Bancos,Acima de 3.000,Analytics Engineer,Sênior,de R$ 8.001/mês a R$ 12.000/mês,de 7 a 10 anos,de 1 a 2 anos,1.0,,Modelo 100% remoto,Modelo 100% remoto,Não ocorreram layoffs/demissões em massa na empresa em que trabalho,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
