Estado,Idade,Genero,Raca_cor,Satisfacao_atual,Fatores_satisfacao,Motivos_insatisfacao,Nivel_experiencia,Tempo_experiencia_dados,Faixa_salarial,Ferramentas_utilizadas,Cargo_atual,Uso_IA_Generativa,Finalidade_IA_Generativa,Barreiras_IA_Generativa,Tamanho_empresa,Setor_empresa,Equipe_dados,Prioridade_IA
DF,36,Masculino,Branca,1.0,"Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto",Não informado,Não informado,de 7 a 10 anos,de R$ 12.001/mês a R$ 16.000/mês,Não informado,Não informado,Não informado,Não informado,"Falta de compreensão dos casos de uso., Falta de expertise das equipes técnicas ou falta de recursos internos.",Acima de 3.000,Tecnologia/Fábrica de Software,51 - 100,"Sim, está entre nossas principais prioridades para os próximos 2-4 anos (com discussões de iniciativas e orçamentos de curto a médio prazo)."
MG,35,Feminino,Branca,1.0,"Propósito do trabalho e da empresa, Flexibilidade de trabalho remoto, Ambiente e clima de trabalho",Não informado,Não informado,de 4 a 6 anos,de R$ 8.001/mês a R$ 12.000/mês,Não informado,Não informado,Não informado,Não informado,"Preocupações com segurança e privacidade de dados., Dados da empresa não estão prontos para uso de IA Generativa., Falta de expertise das equipes técnicas ou falta de recursos internos.",de 51 a 100,Tecnologia/Fábrica de Software,4 - 10,"Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (iniciativas isoladas e pouco foco)."
RJ,29,Feminino,Branca,1.0,"Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto",Não informado,Pleno,de 5 a 6 anos,de R$ 4.001/mês a R$ 6.000/mês,"SQL, R, SAS/Stata",Analista de Dados/Data Analyst,Não utilizo nenhum tipo de solução de IA Generativa para melhorar a produtividade no dia a dia.,"Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de aumentar a eficiencia de processos internos (como produtividade das equipes internas, ou melhoria de processos existentes)., Não tenho visto soluções de IA Generatica e LLMs sendo tradadas como prioridade pela empresa e pessoas, os poucos casos de uso são isolados ou ainda estão muito no início., Não sei opinar.",Não informado,Acima de 3.000,Setor Público,Não informado,Não informado
MG,29,Feminino,Prefiro não informar,0.0,"Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto",Salário atual não corresponde ao mercado,Júnior,de 1 a 2 anos,de R$ 2.001/mês a R$ 3.000/mês,"SQL, SAS/Stata",Analista de Negócios/Business Analyst,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Não tenho visto soluções de IA Generatica e LLMs sendo tradadas como prioridade pela empresa e pessoas, os poucos casos de uso são isolados ou ainda estão muito no início.",Não informado,Acima de 3.000,Tecnologia/Fábrica de Software,Não informado,Não informado
PR,27,Masculino,Parda,1.0,"Flexibilidade de trabalho remoto, Remuneração/Salário, Ambiente e clima de trabalho",Não informado,Júnior,de 3 a 4 anos,de R$ 2.001/mês a R$ 3.000/mês,"SQL, Python, JavaScript",Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia., Utilizo soluções no estilo ""Copilot"" (exemplo: Github Copilot, Amazon CodeWhisperer ou ChatGPT Plus) para ter mais produtividade no dia a dia.","Equipes de desenvolvimento utilizando soluções no estilo Copilot (Github Copilot, AWS CodeWhisperer etc) para obter mais produtividade no processo de desenvolvimento., Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado.",Não informado,de 11 a 50,Tecnologia/Fábrica de Software,Não informado,Não informado
RJ,31,Masculino,Branca,1.0,"Remuneração/Salário, Flexibilidade de trabalho remoto, Maturidade da empresa em termos de tecnologia e dados",Não informado,Não informado,de 7 a 10 anos,de R$ 8.001/mês a R$ 12.000/mês,Não informado,Não informado,Não informado,Não informado,"Preocupações com segurança e privacidade de dados., Dados da empresa não estão prontos para uso de IA Generativa., Falta de expertise das equipes técnicas ou falta de recursos internos.",Acima de 3.000,Entretenimento ou Esportes,51 - 100,"Sim, é nossa principal prioridade como empresa (com foco executivo significativo e alocação de orçamento relevante)."
PB,35,Masculino,Parda,1.0,Flexibilidade de trabalho remoto,Não informado,Sênior,de 5 a 6 anos,de R$ 12.001/mês a R$ 16.000/mês,"SQL, Python",Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de propor melhorias e inovações para impulsionar a diferenciação de produtos oferecidos para os clientes finais (exemplo: novos recursos, produtos, serviços etc)",Não informado,de 1.001 a 3.000,Internet/Ecommerce,Não informado,Não informado
SP,35,Masculino,Branca,1.0,"Remuneração/Salário, Flexibilidade de trabalho remoto, Maturidade da empresa em termos de tecnologia e dados",Não informado,Sênior,de 7 a 10 anos,de R$ 12.001/mês a R$ 16.000/mês,"SQL, Python",Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,"Utilizo soluções pagas de AI Generativa (como por exemplo ChatGPT plus, MidJourney etc) e a empresa em que trabalho paga pela solução.","Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de aumentar a eficiencia de processos internos (como produtividade das equipes internas, ou melhoria de processos existentes)., Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de propor melhorias e inovações para impulsionar a diferenciação de produtos oferecidos para os clientes finais (exemplo: novos recursos, produtos, serviços etc)",Não informado,Acima de 3.000,Internet/Ecommerce,Não informado,Não informado
PR,29,Masculino,Branca,1.0,"Remuneração/Salário, Flexibilidade de trabalho remoto, Benefícios",Não informado,Sênior,de 5 a 6 anos,Acima de R$ 40.001/mês,"SQL, Python",Cientista de Dados/Data Scientist,"Utilizo soluções pagas de AI Generativa (como por exemplo ChatGPT plus, MidJourney etc) e pago do meu próprio bolso.",Soluções de IA Generatica e LLMs estão sendo tratadas como principal frente do negócio (com o objetivo de substituir o modelo de negócio atual),Não informado,Acima de 3.000,Área da Saúde,Não informado,Não informado
MG,44,Feminino,Branca,0.0,"Remuneração/Salário, Propósito do trabalho e da empresa, Oportunidade de aprendizado e trabalhar com referências na área","Salário atual não corresponde ao mercado, Falta de oportunidade de crescimento no emprego atual, O clima de trabalho/ambiente não é bom",Não informado,de 3 a 4 anos,de R$ 8.001/mês a R$ 12.000/mês,Não informado,Não informado,Não informado,Não informado,"Falta de compreensão dos casos de uso., Baixa qualidade e/ou falta de confiabilidade das saídas (alucinação dos modelos)., Preocupações com segurança e privacidade de dados.",de 51 a 100,Área de Consultoria,1 - 3,"Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (iniciativas isoladas e pouco foco)."
SP,25,Feminino,Branca,1.0,"Remuneração/Salário, Benefícios, Reputação que a empresa tem no mercado",Não informado,Júnior,de 1 a 2 anos,de R$ 6.001/mês a R$ 8.000/mês,"Python, SQL",Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Existe um direcionamento centralizado para que colaboradores utilizem soluções baseadas em AI Generativa (como o ChatGPT por exemplo), incluindo apoio nos custos das ferramentas., Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de propor melhorias e inovações para impulsionar a diferenciação de produtos oferecidos para os clientes finais (exemplo: novos recursos, produtos, serviços etc), Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de aumentar a eficiencia de processos internos (como produtividade das equipes internas, ou melhoria de processos existentes).",Não informado,Acima de 3.000,Setor Alimentício,Não informado,Não informado
Não informado,36,Masculino,Branca,0.0,"Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto","Salário atual não corresponde ao mercado, Gostaria de receber mais benefícios",Júnior,Menos de 1 ano,de R$ 1.001/mês a R$ 2.000/mês,"SQL, C/C++/C#, .NET",Analista de Dados/Data Analyst,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado.",Não informado,de 1.001 a 3.000,Setor Alimentício,Não informado,Não informado
MG,36,Feminino,Parda,0.0,"Flexibilidade de trabalho remoto, Maturidade da empresa em termos de tecnologia e dados, Oportunidade de aprendizado e trabalhar com referências na área","Falta de maturidade analítica na empresa, Gostaria de receber mais benefícios, Não tenho uma boa relação com meu líder/gestor",Não informado,Mais de 10 anos,de R$ 12.001/mês a R$ 16.000/mês,Não informado,Não informado,Não informado,Não informado,"Dados da empresa não estão prontos para uso de IA Generativa., Falta de expertise das equipes técnicas ou falta de recursos internos., Preocupações com propriedade intelectual (ou seja, tipo de dados usados para treinar um modelo de terceiros).",de 101 a 500,Finanças ou Bancos,11 - 20,Não é uma iniciativa que estamos focando e não tem sido uma prioridade.
SC,46,Masculino,Branca,1.0,"Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto",Não informado,Pleno,de 1 a 2 anos,de R$ 8.001/mês a R$ 12.000/mês,"SQL, Python",Professor/Pesquisador,"Utilizo soluções no estilo ""Copilot"" (exemplo: Github Copilot, Amazon CodeWhisperer ou ChatGPT Plus) para ter mais produtividade no dia a dia.","Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado.",Não informado,de 51 a 100,Educação,Não informado,Não informado
SP,33,Feminino,Parda,1.0,"Plano de carreira e oportunidades de crescimento profissional, Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área",Não informado,Pleno,de 1 a 2 anos,de R$ 6.001/mês a R$ 8.000/mês,SQL,Analytics Engineer,Não utilizo nenhum tipo de solução de IA Generativa para melhorar a produtividade no dia a dia.,Não sei opinar.,Não informado,Acima de 3.000,Varejo,Não informado,Não informado
SP,30,Masculino,Branca,1.0,"Remuneração/Salário, Flexibilidade de trabalho remoto, Ambiente e clima de trabalho",Não informado,Pleno,de 5 a 6 anos,de R$ 8.001/mês a R$ 12.000/mês,"R, Visual Basic/VBA",Economista,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Não tenho visto soluções de IA Generatica e LLMs sendo tradadas como prioridade pela empresa e pessoas, os poucos casos de uso são isolados ou ainda estão muito no início.",Não informado,de 101 a 500,Área de Consultoria,Não informado,Não informado
SP,32,Masculino,Parda,1.0,"Remuneração/Salário, Flexibilidade de trabalho remoto, Benefícios",Não informado,Sênior,de 7 a 10 anos,de R$ 12.001/mês a R$ 16.000/mês,"SQL, JavaScript",Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Existe um direcionamento centralizado para que colaboradores utilizem soluções baseadas em AI Generativa (como o ChatGPT por exemplo), incluindo apoio nos custos das ferramentas.",Não informado,de 11 a 50,Área de Consultoria,Não informado,Não informado
SP,38,Masculino,Preta,1.0,"Remuneração/Salário, Flexibilidade de trabalho remoto, Oportunidade de aprendizado e trabalhar com referências na área",Não informado,Sênior,de 7 a 10 anos,de R$ 16.001/mês a R$ 20.000/mês,"SQL, Python",Cientista de Dados/Data Scientist,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia., Utilizo soluções no estilo ""Copilot"" (exemplo: Github Copilot, Amazon CodeWhisperer ou ChatGPT Plus) para ter mais produtividade no dia a dia.","Equipes de desenvolvimento utilizando soluções no estilo Copilot (Github Copilot, AWS CodeWhisperer etc) para obter mais produtividade no processo de desenvolvimento., Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado.",Não informado,de 501 a 1.000,Tecnologia/Fábrica de Software,Não informado,Não informado
SP,36,Masculino,Parda,1.0,"Remuneração/Salário, Propósito do trabalho e da empresa, Ambiente e clima de trabalho",Não informado,Não informado,de 7 a 10 anos,de R$ 25.001/mês a R$ 30.000/mês,Não informado,Não informado,Não informado,Não informado,"Falta de compreensão dos casos de uso., Falta de expertise das equipes técnicas ou falta de recursos internos., Baixa qualidade e/ou falta de confiabilidade das saídas (alucinação dos modelos).",de 101 a 500,Setor Alimentício,4 - 10,"Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (iniciativas isoladas e pouco foco)."
RS,53,Masculino,Branca,0.0,Flexibilidade de trabalho remoto,Falta de oportunidade de crescimento no emprego atual,Pleno,de 1 a 2 anos,de R$ 3.001/mês a R$ 4.000/mês,Não utilizo nenhuma das linguagens listadas,Professor/Pesquisador,Não utilizo nenhum tipo de solução de IA Generativa para melhorar a produtividade no dia a dia.,Não sei opinar.,Não informado,de 501 a 1.000,Entretenimento ou Esportes,Não informado,Não informado
SP,23,Masculino,Amarela,0.0,"Flexibilidade de trabalho remoto, Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área","Falta de maturidade analítica na empresa, Salário atual não corresponde ao mercado, Falta de oportunidade de crescimento no emprego atual",Pleno,de 3 a 4 anos,de R$ 3.001/mês a R$ 4.000/mês,"SQL, Python, R, JavaScript",Cientista de Dados/Data Scientist,"Utilizo soluções pagas de AI Generativa (como por exemplo ChatGPT plus, MidJourney etc) e pago do meu próprio bolso.","Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de propor melhorias e inovações para impulsionar a diferenciação de produtos oferecidos para os clientes finais (exemplo: novos recursos, produtos, serviços etc)",Não informado,Acima de 3.000,Marketing,Não informado,Não informado
SP,31,Masculino,Branca,1.0,"Flexibilidade de trabalho remoto, Remuneração/Salário, Qualidade dos gestores e líderes",Não informado,Sênior,de 3 a 4 anos,de R$ 8.001/mês a R$ 12.000/mês,"R, Python, SQL, PHP, JavaScript",Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado., Soluções de IA Generatica e LLMs estão sendo tratadas como principal frente do negócio (com o objetivo de substituir o modelo de negócio atual)",Não informado,Acima de 3.000,Área da Saúde,Não informado,Não informado
BA,33,Feminino,Branca,0.0,Remuneração/Salário,Falta de oportunidade de crescimento no emprego atual,Sênior,de 7 a 10 anos,de R$ 4.001/mês a R$ 6.000/mês,Não informado,Analista de Negócios/Business Analyst,Não informado,Não informado,Não informado,de 501 a 1.000,Área de Consultoria,Não informado,Não informado
SC,36,Masculino,Branca,1.0,"Remuneração/Salário, Flexibilidade de trabalho remoto, Oportunidade de aprendizado e trabalhar com referências na área",Não informado,Pleno,de 3 a 4 anos,de R$ 8.001/mês a R$ 12.000/mês,"SQL, Python",Analista de Dados/Data Analyst,Não utilizo nenhum tipo de solução de IA Generativa para melhorar a produtividade no dia a dia.,"Não tenho visto soluções de IA Generatica e LLMs sendo tradadas como prioridade pela empresa e pessoas, os poucos casos de uso são isolados ou ainda estão muito no início.",Não informado,Acima de 3.000,Varejo,Não informado,Não informado
SP,29,Masculino,Branca,0.0,"Remuneração/Salário, Flexibilidade de trabalho remoto","Falta de maturidade analítica na empresa, Salário atual não corresponde ao mercado",Sênior,de 7 a 10 anos,de R$ 16.001/mês a R$ 20.000/mês,"SQL, Python",Cientista de Dados/Data Scientist,"Utilizo soluções pagas de AI Generativa (como por exemplo ChatGPT plus, MidJourney etc) e pago do meu próprio bolso.","Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado.",Não informado,Acima de 3.000,Setor Alimentício,Não informado,Não informado
PR,38,Masculino,Branca,1.0,"Remuneração/Salário, Flexibilidade de trabalho remoto, Ambiente e clima de trabalho",Não informado,Pleno,Mais de 10 anos,de R$ 4.001/mês a R$ 6.000/mês,"SQL, Python",Analista de Dados/Data Analyst,Não utilizo nenhum tipo de solução de IA Generativa para melhorar a produtividade no dia a dia.,"Não tenho visto soluções de IA Generatica e LLMs sendo tradadas como prioridade pela empresa e pessoas, os poucos casos de uso são isolados ou ainda estão muito no início.",Não informado,Acima de 3.000,Indústria,Não informado,Não informado
RS,23,Masculino,Branca,1.0,"Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área, Plano de carreira e oportunidades de crescimento profissional",Não informado,Pleno,de 1 a 2 anos,de R$ 6.001/mês a R$ 8.000/mês,"SQL, Python",Analista de Dados/Data Analyst,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Não tenho visto soluções de IA Generatica e LLMs sendo tradadas como prioridade pela empresa e pessoas, os poucos casos de uso são isolados ou ainda estão muito no início.",Não informado,de 101 a 500,Entretenimento ou Esportes,Não informado,Não informado
PA,27,Masculino,Branca,0.0,"Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto",Work-life balance,Pleno,de 1 a 2 anos,de R$ 6.001/mês a R$ 8.000/mês,"SQL, Python",Analista de Dados/Data Analyst,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Não tenho visto soluções de IA Generatica e LLMs sendo tradadas como prioridade pela empresa e pessoas, os poucos casos de uso são isolados ou ainda estão muito no início.",Não informado,de 501 a 1.000,Área de Consultoria,Não informado,Não informado
SP,26,Masculino,Branca,1.0,"Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área, Maturidade da empresa em termos de tecnologia e dados",Não informado,Sênior,de 4 a 6 anos,de R$ 20.001/mês a R$ 25.000/mês,Python,Cientista de Dados/Data Scientist,"Utilizo soluções pagas de AI Generativa (como por exemplo ChatGPT plus, MidJourney etc) e a empresa em que trabalho paga pela solução.","Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de propor melhorias e inovações para impulsionar a diferenciação de produtos oferecidos para os clientes finais (exemplo: novos recursos, produtos, serviços etc), Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado.",Não informado,Acima de 3.000,Finanças ou Bancos,Não informado,Não informado
RJ,30,Masculino,Parda,1.0,"Remuneração/Salário, Benefícios, Flexibilidade de trabalho remoto",Não informado,Pleno,de 4 a 6 anos,de R$ 8.001/mês a R$ 12.000/mês,"SQL, Python",Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Uma ou mais equipes testando e aplicando soluções de AI Generativa e LLMs, com o objetivo de propor melhorias e inovações para impulsionar a diferenciação de produtos oferecidos para os clientes finais (exemplo: novos recursos, produtos, serviços etc)",Não informado,de 1.001 a 3.000,Tecnologia/Fábrica de Software,Não informado,Não informado
PR,26,Feminino,Branca,0.0,"Remuneração/Salário, Benefícios, Oportunidade de aprendizado e trabalhar com referências na área","Falta de maturidade analítica na empresa, Gostaria de receber mais benefícios",Júnior,de 1 a 2 anos,de R$ 3.001/mês a R$ 4.000/mês,"SQL, Python",Analista de BI/BI Analyst,"Utilizo apenas soluções gratuitas (como por exemplo o ChatGPT), para me ajudar a ser mais produtivo no dia a dia.","Colaboradores utilizando soluções baseadas em AI Generativa (como o ChatGPT por exemplo) de forma independente, com o objetivo de melhorar sua produtividade no dia a dia, sem um direcionamento centralizado.",Não informado,Acima de 3.000,Setor Alimentício,Não informado,Não informado
SP,50,Feminino,Parda,1.0,"Plano de carreira e oportunidades de crescimento profissional, Remuneração/Salário, Flexibilidade de trabalho remoto",Não informado,Pleno,Mais de 10 anos,de R$ 8.001/mês a R$ 12.000/mês,R,Estatístico,Não utilizo nenhum tipo de solução de IA Generativa para melhorar a produtividade no dia a dia.,"Não tenho visto soluções de IA Generatica e LLMs sendo tradadas como prioridade pela empresa e pessoas, os poucos casos de uso são isolados ou ainda estão muito no início., Não sei opinar.",Não informado,de 501 a 1.000,Educação,Não informado,Não informado
